Accession	T1_t2_F217	T1_t2_F218	T1_t2_F219	T1_t21_F223	T1_t21_F224	T1_t21_F225	T1_t22_F175	T1_t22_F176	T1_t22_F177	T1_t23_F182	T1_t23_F229	T1_t23_F231
g1	5	5	5	1	1	1	8	8	8	15	15	15
g2	6	6	6	2	2	2	9	9	9	16	16	16
g3	7	7	7	3	3	3	10	10		17		17
g4	8		8	4	4	4	11	11	11	18	18	18
g5	9	9	9	1	1	1	12	12	12	19	19	19
g6	10	10	10	2	2	2	13	13	13	20	20	20
g7	5	5	5	3	3	3	8	8	8	21	21	21
g8	6	6	6	4		4	9	9	9	22	22	22
g9	7	7	7	1	1	1	10	10	10	23		23
g10	8	8	8	2	2	2	11	11	11	24	24	24
g11	9	9	9		3	3	12	12	12	15		15
g12	10		10	4	4	4	13	13	13	16	16	16
g13	5	5	5	1	1	1	8	8		17	17	17
g14	6	6	6	2	2	2	9	9	9	18	18	18
g15	7	7	7	3	3	3	10	10	10	19	19	19
g16	8	8		4	4	4	11	11	11	20	20	20
g17	9	9	9	1	1	1	12	12	12	21	21	21
g18	10	10	10	2	2	2	13	13	13	22		22
g19	5	5		3	3		13	13	13	23	23	23
