Accession	MaikopA_A1300_F217	MaikopA_A1300_F218	MaikopA_A1300_F219	MaikopA_A1300_F223	MaikopA_A1300_F224	MaikopA_A1300_F225	MaikopA_A1300_F175	MaikopA_A1300_F176	MaikopA_A1300_F177	MaikopA_A1300_F182	MaikopA_A1300_F229	MaikopA_A1300_F231	MaikopB_A1300_F217	MaikopB_A1300_F218	MaikopB_A1300_F219	MaikopB_A1300_F223	MaikopB_A1300_F224	MaikopB_A1300_F225	MaikopB_A1300_F175	MaikopB_A1300_F176	MaikopB_A1300_F177	MaikopB_A1300_F182	MaikopB_A1300_F229	MaikopB_A1300_F231
XP_009116784.1	3493844.012	5261118.493	2388062.671	1598639.646	1841716.435	1531800.383	2160687.456	2839947.475	2191629.791	785393.0427	2989957.488	1399190.302	3493844.012	5261118.493	2388062.671	1598639.646	1841716.435	1531800.383	2160687.456	2839947.475	2191629.791	785393.0427	2989957.488	1399190.302
XP_009138783.1	13713924.58	9322540.419	12245445.03	11334379.29	14735579.91	14326201.89	9905002.117	7442371.534	11232324.9	10207112.85	13424151.46	9001283.111	13713924.58	9322540.419	12245445.03	11334379.29	14735579.91	14326201.89	9905002.117	7442371.534	11232324.9	10207112.85	13424151.46	9001283.111
XP_009119740.1	13504682.98	12927862.65	15960453.04	11955596.71	11472906.03	12363642.64	8829517.743	9796055.436	11980353.92	10921502.17	12401042.38	14682421.67	13504682.98	12927862.65	15960453.04	11955596.71	11472906.03	12363642.64	8829517.743	9796055.436	11980353.92	10921502.17	12401042.38	14682421.67
XP_009120262.1				356495.1755	783385.8552			288645.3687	268054.8257		125506.8492	218683.7452				356495.1755	783385.8552			288645.3687	268054.8257		125506.8492	218683.7452
XP_033142332.1	1204695.828	1254190.867	904814.8362	1132762.824	975444.2755	1088777.746	1086100.921	1002689.696	923627.0463		899298.2621	1260273.481	1204695.828	1254190.867	904814.8362	1132762.824	975444.2755	1088777.746	1086100.921	1002689.696	923627.0463		899298.2621	1260273.481
XP_018510435.1	342291.1883	89020.18695		9733606.127	10604234.38	9963380.558	2733210.521	1916151.593	1524546.057	4716542.162	2907672.645	1417399.188	342291.1883	89020.18695		9733606.127	10604234.38	9963380.558	2733210.521	1916151.593	1524546.057	4716542.162	2907672.645	1417399.188
XP_018513357.2	1525456.363	1672661.598	996993.1768	349303.5289		503678.7856	432722.3758	775064.4762	1201455.352	2373256.78	849232.398	845315.5455	1525456.363	1672661.598	996993.1768	349303.5289		503678.7856	432722.3758	775064.4762	1201455.352	2373256.78	849232.398	845315.5455
XP_033137825.1	1264709.738	1865929.007	1253690.962	455736.014	836810.195	475982.8716	575520.8853	666493.2967		323486.4994	1884277.812	1635164.949	1264709.738	1865929.007	1253690.962	455736.014	836810.195	475982.8716	575520.8853	666493.2967		323486.4994	1884277.812	1635164.949
XP_009136820.1	145255.5264		88800.29187							150065.85	192637.918		145255.5264		88800.29187							150065.85	192637.918	
XP_009130369.1	2071734.614	2910913.997	2518313.978	1076098.019	1627690.177	1149299.395	661483.3117	841873.2555	640255.431	808589.089	1390657.705	2498771.979	2071734.614	2910913.997	2518313.978	1076098.019	1627690.177	1149299.395	661483.3117	841873.2555	640255.431	808589.089	1390657.705	2498771.979
XP_009148394.1	5078659.906	4228663.176	4098978.98	1912867.314	3155501.294	3015865.648	4305585.664	3680197.73	3766841.714	2913424.611	4611917.051	3291045.018	5078659.906	4228663.176	4098978.98	1912867.314	3155501.294	3015865.648	4305585.664	3680197.73	3766841.714	2913424.611	4611917.051	3291045.018
XP_009143587.1	591331.0126	505136.0677	354923.6941							672314.9007		269366.9856	591331.0126	505136.0677	354923.6941							672314.9007		269366.9856
XP_018514074.1	234357.3718		284401.9616										234357.3718		284401.9616									
XP_033138511.1	3846901.279	5380552.187	5189298.371	4722845.366	6496450.886	9482165.025	1709519.453	786377.6519	1678414.572	4682275.391	3921136.981	4171715.096	3846901.279	5380552.187	5189298.371	4722845.366	6496450.886	9482165.025	1709519.453	786377.6519	1678414.572	4682275.391	3921136.981	4171715.096
XP_009113203.1	1059369.69	934308.6671	1128958.034	345980.4805		390236.6691	1215741.405	1073587.939	717851.601	961022.3432	786562.9755	909041.1299	1059369.69	934308.6671	1128958.034	345980.4805		390236.6691	1215741.405	1073587.939	717851.601	961022.3432	786562.9755	909041.1299
XP_009107366.1	423408.2227	238633.2788	513045.6527	1237704.349	745232.3606	1387656.262				505243.171			423408.2227	238633.2788	513045.6527	1237704.349	745232.3606	1387656.262				505243.171		
XP_033128898.1				1205942.913	870656.1446		162824.9904	117625.7323	100811.3622			300910.9248				1205942.913	870656.1446		162824.9904	117625.7323	100811.3622			300910.9248
XP_009133070.1	2873564.04	2038074.002	1955358.692	1464265.139	1470897.819	2332292.351	1936324.582	2135874.717	2832803.526	1830141.486	1052280.071	1415240.501	2873564.04	2038074.002	1955358.692	1464265.139	1470897.819	2332292.351	1936324.582	2135874.717	2832803.526	1830141.486	1052280.071	1415240.501
XP_009104068.1				1423293.835		2051661.469				349713.9793	353109.3358	645690.915				1423293.835		2051661.469				349713.9793	353109.3358	645690.915
